priority_tier,word,theme,reason_to_curate,primary_era,source_priority_1,source_priority_2,source_priority_3,status
3,sad,semantic-drift,Important common word with earlier serious or firm senses,Old English,OED,DOE,Wiktionary,candidate
3,gay,semantic-drift,High-value but modernly sensitive drift case,Middle English,OED,Wiktionary,candidate
3,doom,semantic-drift,Older judgment sense makes older texts clearer,Old English,OED,DOE,Wiktionary,candidate
3,merry,semantic-drift,Older senses broader than cheerful only,Old English,OED,DOE,Wiktionary,candidate
4,execute,institutions,Strong legal history and modern narrowing,Middle English,OED,EEBO,Wiktionary,candidate
4,demise,institutions,Useful legal inheritance word with modern death reading,Middle English,OED,EEBO,Wiktionary,candidate
4,sentence,institutions,Legal and grammatical divergence adds teaching value,Middle English,MED,OED,Wiktionary,candidate
4,authority,institutions,Common abstract noun with church and state value,Middle English,MED,OED,Wiktionary,candidate
4,license,institutions,Useful for legal, moral, and modern permission senses,Middle English,MED,OED,Wiktionary,candidate
4,preventive,institutions,Good family extension once prevent is done,Early Modern English,OED,EEBO,Wiktionary,candidate
4,port,trade-and-travel,Already partly curated and valuable for semantic branching,Middle English,MED,OED,Wiktionary,candidate
4,traffic,trade-and-travel,Useful commercial and moral history word,Early Modern English,OED,EEBO,Wiktionary,candidate
4,commerce,trade-and-travel,Common institutional word with good historical reach,Early Modern English,OED,EEBO,Wiktionary,candidate
4,policy,institutions,Good governance word with semantic broadening,Middle English,OED,EEBO,Wiktionary,candidate
4,constitution,institutions,Important legal and bodily-history overlap,Early Modern English,OED,EEBO,Wiktionary,candidate
4,estate,institutions,Class, property, and condition all matter historically,Middle English,MED,OED,Wiktionary,candidate
4,condition,institutions,Useful older-text word with state and agreement senses,Middle English,MED,OED,Wiktionary,candidate
4,contract,institutions,Good legal and linguistic overlap,Early Modern English,OED,EEBO,Wiktionary,candidate
4,interest,institutions,Common economic and personal-history word,Middle English,MED,OED,Wiktionary,candidate
4,venture,trade-and-travel,Useful for risk, commerce, and exploration histories,Middle English,MED,OED,Wiktionary,candidate
5,broadcast,technology,Common word with concrete agricultural origin,Modern English,OED,COHA,Wiktionary,candidate
5,computer,technology,Excellent modern semantic narrowing example,Modern English,OED,COHA,Wiktionary,candidate
5,engine,technology,Useful for ingenuity-to-machine shift,Middle English,MED,OED,Wiktionary,candidate
5,manufacture,technology,Good institutional and industrial history word,Early Modern English,OED,EEBO,Wiktionary,candidate
5,industry,technology,Strong diligence-to-economic-sector shift,Middle English,MED,OED,Wiktionary,candidate
5,science,technology,Common prestige word with historical range,Middle English,MED,OED,Wiktionary,candidate
5,medicine,technology,Everyday institutional word with deep historical payoff,Middle English,MED,OED,Wiktionary,candidate
5,doctor,technology,Good for learned-title and profession history,Middle English,MED,OED,Wiktionary,candidate
5,patient,technology,Double-use word with medical and moral senses,Middle English,MED,OED,Wiktionary,curated
5,nervous,body-and-mind,Common modern adjective with important historical shift,Early Modern English,OED,COHA,Wiktionary,candidate
5,melancholy,body-and-mind,Excellent for humoral and emotional history,Middle English,MED,OED,Wiktionary,candidate
5,humor,body-and-mind,Classic body-fluid to comedy drift case,Middle English,MED,OED,Wiktionary,candidate
5,temper,body-and-mind,Useful for bodily and emotional regulation senses,Middle English,MED,OED,Wiktionary,candidate
5,complexion,body-and-mind,Strong humoral-history term with modern residue,Middle English,MED,OED,Wiktionary,candidate
5,spirit,body-and-mind,Highly versatile word with strong historical layering,Middle English,MED,OED,Wiktionary,candidate
5,imagination,body-and-mind,Common mental word with literary and philosophical payoff,Middle English,MED,OED,Wiktionary,candidate
6,kind,social-history,Everyday adjective with kinship and nature history,Old English,OED,DOE,Wiktionary,candidate
6,nature,social-history,Common abstract noun with major philosophical and cultural layering,Middle English,MED,OED,Wiktionary,candidate
6,art,register,Everyday prestige word with strong older breadth,Old English,OED,DOE,Wiktionary,candidate
6,craft,register,Skill word with later deception and specialization associations,Old English,OED,DOE,Wiktionary,candidate
6,riot,social-history,Good legal and social disorder history word,Middle English,MED,OED,Wiktionary,candidate
6,luxury,social-history,Strong moral-to-consumer drift case,Middle English,MED,OED,Wiktionary,candidate
6,liberal,social-history,Important but politically layered drift case,Middle English,OED,Wiktionary,candidate
6,radical,social-history,Common political word with technical and root senses,Modern English,OED,COHA,Wiktionary,candidate
6,awesome,semantic-drift,Modern counterpart to awful with inverse connotation drift,Modern English,OED,COHA,Wiktionary,candidate
6,terrific,semantic-drift,Clear frightening-to-positive intensity shift,Early Modern English,OED,COHA,Wiktionary,candidate
